price_hub,trade_date,delivery_start_date,delivery_end_date,high_price,low_price,wtd_avg_price,change,vol,num_trades,num_companies,year
Mid Columbia Peak,5-Jan-01,8-Jan-01,8-Jan-01,150,150,150,,400,1,2,2001
Mid Columbia Peak,29-Mar-01,30-Mar-01,31-Mar-01,180,180,180,30,"2,400",3,4,2001
Mid Columbia Peak,3-Apr-01,4-Apr-01,4-Apr-01,310,310,310,130,400,1,2,2001
Mid Columbia Peak,4-Apr-01,5-Apr-01,5-Apr-01,350,350,350,40,400,1,2,2001
Mid Columbia Peak,3-May-01,4-May-01,5-May-01,165,165,165,-185,800,1,2,2001
Mid Columbia Peak,14-May-01,15-May-01,15-May-01,210,210,210,45,400,1,2,2001
Mid Columbia Peak,16-May-01,17-May-01,17-May-01,185,185,185,-25,400,1,2,2001
Mid Columbia Peak,17-May-01,18-May-01,19-May-01,154,135,144.5,-40.5,"1,600",2,4,2001
Mid Columbia Peak,21-May-01,22-May-01,22-May-01,450,450,450,305.5,400,1,2,2001
Mid Columbia Peak,25-May-01,29-May-01,29-May-01,170,155,162.5,-287.5,800,2,3,2001
Mid Columbia Peak,5-Jun-01,6-Jun-01,6-Jun-01,60,60,60,-102.5,400,1,2,2001
Mid Columbia Peak,11-Jun-01,12-Jun-01,12-Jun-01,49,49,49,-11,800,2,2,2001
Mid Columbia Peak,12-Jun-01,13-Jun-01,13-Jun-01,60,60,60,11,400,1,2,2001
Mid Columbia Peak,14-Jun-01,15-Jun-01,16-Jun-01,42,40,41,-19,"2,400",3,3,2001
Mid Columbia Peak,15-Jun-01,18-Jun-01,18-Jun-01,60.5,58,59.5,18.5,"1,200",3,3,2001
Mid Columbia Peak,18-Jun-01,19-Jun-01,19-Jun-01,120,104,114.75,55.25,"1,600",4,4,2001
Mid Columbia Peak,19-Jun-01,20-Jun-01,20-Jun-01,88,86,87,-27.75,800,2,3,2001
Mid Columbia Peak,20-Jun-01,21-Jun-01,21-Jun-01,88,82,85.5,-1.5,"1,600",4,2,2001
Mid Columbia Peak,21-Jun-01,22-Jun-01,23-Jun-01,79,72,75.5,-10,"1,600",2,3,2001
Mid Columbia Peak,22-Jun-01,25-Jun-01,25-Jun-01,81,77,79.33,3.83,"1,200",3,5,2001
Mid Columbia Peak,25-Jun-01,26-Jun-01,26-Jun-01,46,46,46,-33.33,400,1,2,2001
Mid Columbia Peak,26-Jun-01,27-Jun-01,27-Jun-01,39,39,39,-7,400,1,2,2001
Mid Columbia Peak,27-Jun-01,28-Jun-01,28-Jun-01,46.5,44,45.5,6.5,"1,200",3,3,2001
Mid Columbia Peak,28-Jun-01,29-Jun-01,30-Jun-01,47,45,46,0.5,"1,600",2,3,2001
Mid Columbia Peak,29-Jun-01,2-Jul-01,2-Jul-01,89,89,89,43,400,1,2,2001
Mid Columbia Peak,5-Jul-01,6-Jul-01,7-Jul-01,80,79,79.5,-9.5,"1,600",2,3,2001
Mid Columbia Peak,6-Jul-01,9-Jul-01,9-Jul-01,80,72,75.83,-3.67,"1,200",3,4,2001
Mid Columbia Peak,9-Jul-01,10-Jul-01,10-Jul-01,64,64,64,-11.83,400,1,2,2001
Mid Columbia Peak,11-Jul-01,12-Jul-01,12-Jul-01,57.5,57.5,57.5,-6.5,400,1,2,2001
Mid Columbia Peak,12-Jul-01,13-Jul-01,14-Jul-01,43,43,43,-14.5,800,1,2,2001
Mid Columbia Peak,13-Jul-01,16-Jul-01,16-Jul-01,47,47,47,4,400,1,2,2001
Mid Columbia Peak,16-Jul-01,17-Jul-01,17-Jul-01,43,41,41.67,-5.33,"2,400",6,6,2001
Mid Columbia Peak,17-Jul-01,18-Jul-01,18-Jul-01,38,37.25,37.5,-4.17,"1,200",3,3,2001
Mid Columbia Peak,23-Jul-01,24-Jul-01,24-Jul-01,67.5,60,63.75,26.25,800,2,4,2001
Mid Columbia Peak,24-Jul-01,25-Jul-01,25-Jul-01,55,55,55,-8.75,400,1,2,2001
Mid Columbia Peak,27-Jul-01,30-Jul-01,30-Jul-01,70,68,69.17,14.17,"1,200",3,4,2001
Mid Columbia Peak,30-Jul-01,31-Jul-01,31-Jul-01,57,55,56,-13.17,800,2,3,2001
Mid Columbia Peak,31-Jul-01,1-Aug-01,1-Aug-01,56,53.5,54.75,-1.25,800,2,4,2001
Mid Columbia Peak,1-Aug-01,2-Aug-01,2-Aug-01,56.5,56,56.25,1.5,"1,600",4,4,2001
Mid Columbia Peak,2-Aug-01,3-Aug-01,4-Aug-01,52,52,52,-4.25,800,1,2,2001
Mid Columbia Peak,3-Aug-01,6-Aug-01,6-Aug-01,70,65.5,67.42,15.42,"2,400",6,8,2001
Mid Columbia Peak,6-Aug-01,7-Aug-01,7-Aug-01,65,64,64.33,-3.08,"1,200",3,5,2001
Mid Columbia Peak,7-Aug-01,8-Aug-01,8-Aug-01,67.5,67,67.17,2.83,"1,200",3,2,2001
Mid Columbia Peak,8-Aug-01,9-Aug-01,9-Aug-01,66,65.5,65.92,-1.25,"2,400",6,7,2001
Mid Columbia Peak,9-Aug-01,10-Aug-01,11-Aug-01,58.5,52.75,54.89,-11.02,"5,600",7,5,2001
Mid Columbia Peak,10-Aug-01,13-Aug-01,13-Aug-01,55,44.5,50.88,-4.02,"1,600",4,5,2001
Mid Columbia Peak,13-Aug-01,14-Aug-01,14-Aug-01,48,42.5,45.57,-5.31,"4,400",11,8,2001
Mid Columbia Peak,14-Aug-01,15-Aug-01,15-Aug-01,46.5,44.25,45.47,-0.1,"3,200",8,7,2001
Mid Columbia Peak,15-Aug-01,16-Aug-01,16-Aug-01,45,42,43.46,-2.01,"2,400",6,6,2001
Mid Columbia Peak,16-Aug-01,17-Aug-01,18-Aug-01,40,38,38.75,-4.71,"2,400",3,5,2001
Mid Columbia Peak,17-Aug-01,20-Aug-01,20-Aug-01,46,42,43.54,4.79,"2,800",7,7,2001
Mid Columbia Peak,20-Aug-01,21-Aug-01,21-Aug-01,41,40,40.5,-3.04,"1,200",3,3,2001
Mid Columbia Peak,21-Aug-01,22-Aug-01,22-Aug-01,37.25,36,36.63,-3.88,800,2,4,2001
Mid Columbia Peak,22-Aug-01,23-Aug-01,23-Aug-01,33.5,33,33.25,-3.38,800,2,4,2001
Mid Columbia Peak,23-Aug-01,24-Aug-01,25-Aug-01,29.5,28,28.8,-4.45,"4,000",5,5,2001
Mid Columbia Peak,24-Aug-01,27-Aug-01,27-Aug-01,41,39,40,11.2,"2,000",5,4,2001
Mid Columbia Peak,27-Aug-01,28-Aug-01,28-Aug-01,45,43,44,4,"1,200",3,4,2001
Mid Columbia Peak,28-Aug-01,29-Aug-01,29-Aug-01,41,37,39.4,-4.6,"2,000",5,4,2001
Mid Columbia Peak,29-Aug-01,30-Aug-01,31-Aug-01,30.25,28.5,29.38,-10.03,"1,600",2,4,2001
Mid Columbia Peak,30-Aug-01,1-Sep-01,1-Sep-01,22.5,22.25,22.38,-7,800,2,4,2001
Mid Columbia Peak,31-Aug-01,4-Sep-01,4-Sep-01,27,25.5,26.25,3.88,"2,400",6,5,2001
Mid Columbia Peak,4-Sep-01,5-Sep-01,5-Sep-01,28.5,27.75,27.98,1.73,"4,400",11,9,2001
Mid Columbia Peak,5-Sep-01,6-Sep-01,6-Sep-01,28.45,27.5,27.93,-0.05,"3,200",8,9,2001
Mid Columbia Peak,6-Sep-01,7-Sep-01,8-Sep-01,28,27.75,27.88,-0.06,"1,600",2,4,2001
Mid Columbia Peak,7-Sep-01,10-Sep-01,10-Sep-01,28.5,28.15,28.41,0.54,"1,600",4,6,2001
Mid Columbia Peak,10-Sep-01,11-Sep-01,11-Sep-01,28,27.75,27.88,-0.54,"1,600",4,6,2001
Mid Columbia Peak,11-Sep-01,12-Sep-01,12-Sep-01,27.75,27.75,27.75,-0.13,800,2,4,2001
Mid Columbia Peak,12-Sep-01,13-Sep-01,13-Sep-01,28.5,27.8,28.31,0.56,"2,000",5,6,2001
Mid Columbia Peak,13-Sep-01,14-Sep-01,15-Sep-01,27.65,27.5,27.55,-0.76,"3,200",4,5,2001
Mid Columbia Peak,14-Sep-01,17-Sep-01,17-Sep-01,27.75,27.25,27.5,-0.05,"1,200",3,4,2001
Mid Columbia Peak,17-Sep-01,18-Sep-01,18-Sep-01,27,26,26.56,-0.94,"1,600",4,5,2001
Mid Columbia Peak,18-Sep-01,19-Sep-01,19-Sep-01,23,23,23,-3.56,800,2,3,2001
Mid Columbia Peak,19-Sep-01,20-Sep-01,20-Sep-01,22,21.25,21.6,-1.4,"1,600",4,7,2001
Mid Columbia Peak,20-Sep-01,21-Sep-01,22-Sep-01,20,19.5,19.78,-1.82,"4,000",5,7,2001
Mid Columbia Peak,21-Sep-01,24-Sep-01,24-Sep-01,22.75,19.75,20.84,1.06,"10,400",26,13,2001
Mid Columbia Peak,24-Sep-01,25-Sep-01,25-Sep-01,19.25,19.25,19.25,-1.59,400,1,2,2001
Mid Columbia Peak,25-Sep-01,26-Sep-01,26-Sep-01,20.5,18.6,19.44,0.19,"3,600",9,9,2001
Mid Columbia Peak,26-Sep-01,27-Sep-01,28-Sep-01,20.75,20,20.5,1.06,"2,400",3,6,2001
Mid Columbia Peak,27-Sep-01,29-Sep-01,29-Sep-01,19,18.75,18.92,-1.58,"1,200",3,4,2001
Mid Columbia Peak,28-Sep-01,1-Oct-01,1-Oct-01,23.25,20.5,21.69,2.77,"3,200",8,11,2001
