price_hub,trade_date,delivery_start_date,delivery_end_date,high_price,low_price,wtd_avg_price,change,vol,num_trades,num_companies,year
NEPOOL,1/3/01,1/4/01,1/4/01,74.5,74,74.25,,"1,600",2,3,2001
NEPOOL,1/8/01,1/9/01,1/9/01,83,81,82,7.75,"1,600",2,3,2001
NEPOOL,1/9/01,1/10/01,1/10/01,89,88,88.67,6.67,"2,400",3,3,2001
NEPOOL,1/10/01,1/11/01,1/11/01,77.5,73,75.25,-13.42,"1,600",2,3,2001
NEPOOL,1/11/01,1/12/01,1/12/01,75.75,75.75,75.75,0.5,800,1,2,2001
NEPOOL,1/12/01,1/15/01,1/15/01,75,74,74.5,-1.25,"2,400",3,3,2001
NEPOOL,1/15/01,1/16/01,1/16/01,80,76.5,77.75,3.25,"3,200",4,3,2001
NEPOOL,1/16/01,1/17/01,1/17/01,79.5,76,78.38,0.63,"3,200",4,4,2001
NEPOOL,1/17/01,1/18/01,1/18/01,75.5,74.5,75,-3.38,"3,200",3,4,2001
NEPOOL,1/18/01,1/19/01,1/19/01,71.75,70.75,71.25,-3.75,"1,600",2,3,2001
NEPOOL,1/19/01,1/22/01,1/22/01,74.75,74,74.4,3.15,"4,000",5,3,2001
NEPOOL,1/23/01,1/24/01,1/24/01,67.5,66.5,67,-7.4,"2,400",3,3,2001
NEPOOL,1/24/01,1/25/01,1/25/01,67,65.75,66.33,-0.67,"2,400",3,2,2001
NEPOOL,1/25/01,1/26/01,1/26/01,65,61.25,63.38,-2.95,"3,200",4,3,2001
NEPOOL,1/26/01,1/29/01,1/29/01,62,61.25,61.62,-1.76,"1,600",2,2,2001
NEPOOL,1/29/01,1/30/01,1/30/01,59.5,58,58.8,-2.82,"4,000",5,4,2001
NEPOOL,1/30/01,1/31/01,1/31/01,55.25,55,55.12,-3.68,"3,200",4,4,2001
NEPOOL,1/31/01,2/1/01,2/1/01,57.5,53,53.89,-1.23,"5,600",7,4,2001
NEPOOL,2/1/01,2/2/01,2/2/01,53.25,52,52.86,-1.03,"7,200",9,4,2001
NEPOOL,2/2/01,2/5/01,2/5/01,60,57.5,58.35,5.49,"4,000",5,4,2001
NEPOOL,2/5/01,2/6/01,2/6/01,52,50.5,51.46,-6.89,"4,800",6,4,2001
NEPOOL,2/6/01,2/7/01,2/7/01,51.75,51.5,51.62,0.16,"3,200",4,5,2001
NEPOOL,2/7/01,2/8/01,2/8/01,51,50.5,50.69,-0.93,"3,200",4,5,2001
NEPOOL,2/8/01,2/9/01,2/9/01,49,48.5,48.75,-1.94,"2,400",3,4,2001
NEPOOL,2/9/01,2/12/01,2/12/01,54.75,54.5,54.67,5.92,"2,400",3,3,2001
NEPOOL,2/12/01,2/13/01,2/13/01,50,49,49.5,-5.17,"1,600",2,2,2001
NEPOOL,2/13/01,2/14/01,2/14/01,47.5,47,47.25,-2.25,"6,400",6,4,2001
NEPOOL,2/14/01,2/15/01,2/15/01,48,47.5,47.69,0.44,"3,200",4,3,2001
NEPOOL,2/15/01,2/16/01,2/16/01,47.75,47.75,47.75,0.06,"1,600",2,4,2001
NEPOOL,2/16/01,2/19/01,2/19/01,51.5,50.75,51.25,3.5,"2,400",3,2,2001
NEPOOL,2/19/01,2/20/01,2/20/01,47,46.75,46.92,-4.33,"2,400",3,3,2001
NEPOOL,2/21/01,2/22/01,2/22/01,53,52,52.38,5.46,"4,800",6,6,2001
NEPOOL,2/22/01,2/23/01,2/23/01,47,46.75,46.88,-5.5,"3,200",4,4,2001
NEPOOL,2/23/01,2/26/01,2/26/01,47,47,47,0.12,800,1,2,2001
NEPOOL,2/26/01,2/27/01,2/27/01,47.75,47.5,47.58,0.58,"2,400",3,3,2001
NEPOOL,2/27/01,2/28/01,2/28/01,50.25,50.25,50.25,2.67,800,1,2,2001
