price_hub,trade_date,delivery_start_date,delivery_end_date,high_price,low_price,wtd_avg_price,change,vol,num_trades,num_companies,year
PJM West,1/2/01,1/3/01,1/3/01,65.5,64.5,65,,"1,600",2,2,2001
PJM West,1/3/01,1/4/01,1/4/01,63,59.5,61.25,-3.75,"3,200",4,2,2001
PJM West,1/4/01,1/5/01,1/5/01,60,58.5,59.12,-2.13,"4,800",6,4,2001
PJM West,1/8/01,1/9/01,1/9/01,59.5,59.5,59.5,0.38,800,1,2,2001
PJM West,1/9/01,1/10/01,1/10/01,58,55.5,56.61,-2.89,"5,600",7,6,2001
PJM West,1/10/01,1/11/01,1/11/01,50.5,49,49.75,-6.86,"3,200",4,4,2001
PJM West,1/11/01,1/12/01,1/12/01,47,46,46.33,-3.42,"4,800",6,3,2001
PJM West,1/12/01,1/15/01,1/15/01,45.5,45,45.12,-1.21,"3,200",4,6,2001
PJM West,1/15/01,1/16/01,1/16/01,46,42,44.21,-0.91,"5,600",7,6,2001
PJM West,1/16/01,1/17/01,1/17/01,42.5,42,42.4,-1.81,"4,000",4,7,2001
PJM West,1/17/01,1/18/01,1/18/01,41,39,39.56,-2.84,"7,200",7,6,2001
PJM West,1/18/01,1/19/01,1/19/01,39.5,39,39.25,-0.31,"2,400",3,5,2001
PJM West,1/19/01,1/22/01,1/22/01,51,50,50.43,11.18,"5,600",5,6,2001
PJM West,1/22/01,1/23/01,1/23/01,50.75,50.25,50.5,0.07,"1,600",2,4,2001
PJM West,1/23/01,1/24/01,1/24/01,51.5,49,50.08,-0.42,"7,200",8,5,2001
PJM West,1/24/01,1/25/01,1/25/01,52,50.75,51.42,1.34,"2,400",3,3,2001
PJM West,1/25/01,1/26/01,1/26/01,48.25,46,46.75,-4.67,"6,400",8,7,2001
PJM West,1/26/01,1/29/01,1/29/01,44,43.75,43.96,-2.79,"4,800",6,5,2001
PJM West,1/29/01,1/30/01,1/30/01,36,35,35.57,-8.39,"5,600",6,4,2001
PJM West,1/30/01,1/31/01,1/31/01,34.5,33.25,33.73,-1.84,"8,800",10,8,2001
PJM West,1/31/01,2/1/01,2/1/01,36.5,34.75,35.75,2.02,"12,800",16,8,2001
PJM West,2/1/01,2/2/01,2/2/01,40.25,39.25,39.96,4.21,"9,600",12,7,2001
PJM West,2/2/01,2/5/01,2/5/01,43.5,42.5,43.04,3.08,"13,600",12,8,2001
PJM West,2/5/01,2/6/01,2/6/01,37.75,36.5,36.94,-6.1,"7,200",9,8,2001
PJM West,2/6/01,2/7/01,2/7/01,34.75,33.5,33.89,-3.05,"7,200",9,8,2001
PJM West,2/7/01,2/8/01,2/8/01,32.5,32,32.32,-1.57,"5,600",7,8,2001
PJM West,2/8/01,2/9/01,2/9/01,31.75,29.25,29.46,-2.86,"20,000",6,7,2001
PJM West,2/9/01,2/12/01,2/12/01,40,36,37.54,8.08,"4,800",6,5,2001
PJM West,2/12/01,2/13/01,2/13/01,36.25,35.5,35.75,-1.79,"6,400",8,7,2001
PJM West,2/13/01,2/14/01,2/14/01,31.5,30,30.83,-4.92,"4,800",6,6,2001
PJM West,2/14/01,2/15/01,2/15/01,29.25,28,28.83,-2,"4,800",6,7,2001
PJM West,2/15/01,2/16/01,2/16/01,29,28.75,28.83,0,"9,600",11,9,2001
PJM West,2/16/01,2/19/01,2/19/01,37.5,36,36.75,7.92,"13,600",17,7,2001
PJM West,2/19/01,2/20/01,2/20/01,37,36.25,36.62,-0.13,"1,600",2,3,2001
PJM West,2/20/01,2/21/01,2/21/01,38.8,38.5,38.62,2,"16,800",21,8,2001
PJM West,2/21/01,2/22/01,2/22/01,46,44,44.85,6.23,"19,200",24,10,2001
PJM West,2/22/01,2/23/01,2/23/01,38.5,37.5,37.98,-6.87,"9,600",12,7,2001
PJM West,2/23/01,2/26/01,2/26/01,39.25,37,38.38,0.4,"19,200",24,8,2001
PJM West,2/26/01,2/27/01,2/27/01,43,40,41.89,3.51,"11,200",14,6,2001
PJM West,2/27/01,2/28/01,2/28/01,50.5,46.5,48.58,6.69,"16,800",21,12,2001
PJM West,2/28/01,3/1/01,3/1/01,48.25,45.25,46.25,-2.33,"23,200",29,10,2001
PJM West,3/1/01,3/2/01,3/2/01,42.5,36.5,38.97,-7.28,"13,600",16,11,2001
PJM West,3/2/01,3/5/01,3/5/01,44.75,43.25,44.02,5.05,"29,600",33,12,2001
PJM West,3/5/01,3/6/01,3/6/01,51.5,50,50.71,6.69,"14,400",18,11,2001
PJM West,3/6/01,3/7/01,3/7/01,57,52.25,53.52,2.81,"17,600",21,11,2001
PJM West,3/7/01,3/8/01,3/8/01,45.5,44.25,45.03,-8.49,"11,200",13,11,2001
PJM West,3/8/01,3/9/01,3/9/01,43.75,41.75,42.38,-2.65,"20,800",26,12,2001
PJM West,3/9/01,3/12/01,3/12/01,44,41.25,42.16,-0.22,"20,800",25,10,2001
PJM West,3/12/01,3/13/01,3/13/01,42,40.75,41.51,-0.65,"16,000",20,13,2001
PJM West,3/13/01,3/14/01,3/14/01,39.5,38,38.52,-2.99,"18,400",16,12,2001
PJM West,3/14/01,3/15/01,3/15/01,37.25,36.5,36.98,-1.54,"14,400",13,10,2001
PJM West,3/15/01,3/16/01,3/16/01,35.5,33.75,34.32,-2.66,"19,200",18,11,2001
PJM West,3/16/01,3/19/01,3/19/01,43,41.5,41.99,7.67,"13,600",17,11,2001
