price_hub,trade_date,delivery_start_date,delivery_end_date,high_price,low_price,wtd_avg_price,change,vol,num_trades,num_companies,year
ERCOT North 345KV Peak,1/2/15,1/5/15,1/5/15,40,39,39.5,10.58,"1,600",2,3,2015
ERCOT North 345KV Peak,1/5/15,1/6/15,1/6/15,29.5,28.5,29.07,-10.43,"12,000",15,12,2015
ERCOT North 345KV Peak,1/7/15,1/8/15,1/8/15,43,41.5,42.25,13.18,"6,400",8,9,2015
ERCOT North 345KV Peak,1/8/15,1/9/15,1/9/15,31,29.5,29.86,-12.39,"17,600",20,11,2015
ERCOT North 345KV Peak,1/9/15,1/12/15,1/12/15,28.75,27.25,27.7,-2.16,"4,000",5,7,2015
ERCOT North 345KV Peak,1/12/15,1/13/15,1/13/15,29,28,28.44,0.74,"6,400",8,8,2015
ERCOT North 345KV Peak,1/13/15,1/14/15,1/14/15,31,30.5,30.65,2.21,"8,000",10,8,2015
ERCOT North 345KV Peak,1/14/15,1/15/15,1/15/15,30,29.5,29.79,-0.86,"12,000",12,10,2015
ERCOT North 345KV Peak,1/15/15,1/16/15,1/16/15,29.5,28,28.78,-1.01,"25,600",27,12,2015
ERCOT North 345KV Peak,1/16/15,1/19/15,1/19/15,26.25,26.25,26.25,-2.53,"3,200",4,2,2015
ERCOT North 345KV Peak,1/21/15,1/22/15,1/22/15,26.5,25,25.72,-0.53,"6,400",8,9,2015
ERCOT North 345KV Peak,1/22/15,1/23/15,1/23/15,28,27.5,27.67,1.95,"2,400",2,4,2015
ERCOT North 345KV Peak,1/26/15,1/27/15,1/27/15,24,23.75,23.8,-3.87,"8,000",10,7,2015
ERCOT North 345KV Peak,1/27/15,1/28/15,1/28/15,23.5,22.75,23,-0.8,"13,600",17,9,2015
ERCOT North 345KV Peak,1/28/15,1/29/15,1/29/15,22.75,22.25,22.54,-0.46,"21,600",23,15,2015
ERCOT North 345KV Peak,1/29/15,1/30/15,1/30/15,24.25,24,24.16,1.62,"11,200",13,10,2015
ERCOT North 345KV Peak,1/30/15,2/2/15,2/2/15,27,26.5,26.67,2.51,"2,400",3,4,2015
ERCOT North 345KV Peak,2/2/15,2/3/15,2/3/15,25.25,24.75,24.9,-1.77,"9,600",12,10,2015
ERCOT North 345KV Peak,2/3/15,2/4/15,2/4/15,21.5,21,21.19,-3.71,"24,000",27,14,2015
ERCOT North 345KV Peak,2/4/15,2/5/15,2/5/15,25.25,25,25.08,3.89,"4,800",6,7,2015
ERCOT North 345KV Peak,2/5/15,2/6/15,2/6/15,22.75,22.5,22.63,-2.45,"1,600",2,4,2015
ERCOT North 345KV Peak,2/6/15,2/9/15,2/9/15,22.25,22,22.08,-0.55,"2,400",3,4,2015
ERCOT North 345KV Peak,2/9/15,2/10/15,2/10/15,21,21,21,-1.08,"7,200",8,8,2015
ERCOT North 345KV Peak,2/10/15,2/11/15,2/11/15,21.25,20.5,21.1,0.1,"12,000",14,8,2015
ERCOT North 345KV Peak,2/11/15,2/12/15,2/12/15,25,24.5,24.88,3.78,"10,400",11,9,2015
ERCOT North 345KV Peak,2/12/15,2/13/15,2/13/15,26,26,26,1.12,"8,000",10,9,2015
ERCOT North 345KV Peak,2/13/15,2/16/15,2/16/15,25.5,24,24.8,-1.2,"4,000",5,7,2015
ERCOT North 345KV Peak,2/17/15,2/18/15,2/18/15,27,26.75,26.81,2.01,"7,200",9,5,2015
ERCOT North 345KV Peak,2/18/15,2/19/15,2/19/15,24,23.5,23.56,-3.25,"6,400",8,3,2015
ERCOT North 345KV Peak,2/19/15,2/20/15,2/20/15,21.75,21.25,21.49,-2.07,"16,000",20,9,2015
ERCOT North 345KV Peak,2/20/15,2/23/15,2/23/15,37.5,34.5,36.63,15.14,"12,800",16,9,2015
ERCOT North 345KV Peak,2/23/15,2/24/15,2/24/15,46.5,43.75,45.1,8.47,"8,800",11,10,2015
ERCOT North 345KV Peak,2/24/15,2/25/15,2/25/15,31.5,31.5,31.5,-13.6,"1,600",2,4,2015
ERCOT North 345KV Peak,2/25/15,2/26/15,2/26/15,29,28.5,28.79,-2.71,"18,400",20,9,2015
ERCOT North 345KV Peak,2/26/15,2/27/15,2/27/15,40,39.5,39.83,11.04,"2,400",3,4,2015
ERCOT North 345KV Peak,2/27/15,3/2/15,3/2/15,25.75,25.5,25.63,-14.2,"1,600",2,4,2015
ERCOT North 345KV Peak,3/2/15,3/3/15,3/3/15,28.5,28.25,28.38,2.75,"1,600",2,4,2015
ERCOT North 345KV Peak,3/3/15,3/4/15,3/4/15,35.25,34,34.74,6.36,"13,600",17,12,2015
ERCOT North 345KV Peak,3/4/15,3/5/15,3/5/15,92,82,85.14,50.4,"5,600",7,5,2015
ERCOT North 345KV Peak,3/5/15,3/6/15,3/6/15,80,63,73.7,-11.44,"4,000",5,6,2015
ERCOT North 345KV Peak,3/6/15,3/9/15,3/9/15,31.5,29.5,30,-43.7,"8,000",10,8,2015
ERCOT North 345KV Peak,3/9/15,3/10/15,3/10/15,29,27.5,28.64,-1.36,"7,200",9,9,2015
ERCOT North 345KV Peak,3/10/15,3/11/15,3/11/15,29.5,28.5,28.91,0.27,"11,200",14,8,2015
ERCOT North 345KV Peak,3/11/15,3/12/15,3/12/15,27.5,27.5,27.5,-1.41,"4,000",5,7,2015
ERCOT North 345KV Peak,3/13/15,3/16/15,3/16/15,26,25.5,25.83,-1.67,"10,400",9,7,2015
ERCOT North 345KV Peak,3/16/15,3/17/15,3/17/15,26,26,26,0.17,"1,600",2,3,2015
ERCOT North 345KV Peak,3/17/15,3/18/15,3/18/15,27.75,27,27.19,1.19,"3,200",4,5,2015
ERCOT North 345KV Peak,3/18/15,3/19/15,3/19/15,30,28.1,29.05,1.86,"3,200",3,4,2015
ERCOT North 345KV Peak,3/19/15,3/20/15,3/20/15,27.75,27.25,27.43,-1.62,"5,600",5,6,2015
ERCOT North 345KV Peak,3/20/15,3/23/15,3/23/15,28.5,28,28.23,0.8,"8,800",10,9,2015
ERCOT North 345KV Peak,3/23/15,3/24/15,3/24/15,30.5,29,30.07,1.84,"11,200",13,9,2015
ERCOT North 345KV Peak,3/24/15,3/25/15,3/25/15,29,29,29,-1.07,"2,400",3,4,2015
ERCOT North 345KV Peak,3/25/15,3/26/15,3/26/15,27,26.25,26.53,-2.47,"8,000",10,6,2015
ERCOT North 345KV Peak,3/26/15,3/27/15,3/27/15,27,27,27,0.47,"4,800",4,5,2015
ERCOT North 345KV Peak,3/27/15,3/30/15,3/30/15,27.75,27.5,27.53,0.53,"6,400",4,5,2015
ERCOT North 345KV Peak,3/30/15,3/31/15,3/31/15,28,28,28,0.47,"2,400",2,3,2015
ERCOT North 345KV Peak,3/31/15,4/1/15,4/1/15,27,26.25,26.72,-1.28,"12,800",13,8,2015
ERCOT North 345KV Peak,4/1/15,4/2/15,4/2/15,31,30.25,30.74,4.02,"14,400",16,11,2015
ERCOT North 345KV Peak,4/2/15,4/3/15,4/3/15,26,24.75,25.18,-5.56,"20,800",23,14,2015
ERCOT North 345KV Peak,4/6/15,4/7/15,4/7/15,29,28,28.85,3.67,"20,000",23,12,2015
ERCOT North 345KV Peak,4/7/15,4/8/15,4/8/15,28.5,26.5,27.09,-1.76,"32,000",39,17,2015
ERCOT North 345KV Peak,4/8/15,4/9/15,4/9/15,34.5,32.5,33.67,6.58,"15,200",19,13,2015
ERCOT North 345KV Peak,4/9/15,4/10/15,4/10/15,26,25.25,25.54,-8.13,"20,000",25,12,2015
ERCOT North 345KV Peak,4/10/15,4/13/15,4/13/15,27.5,26.75,27.05,1.51,"23,200",25,10,2015
ERCOT North 345KV Peak,4/13/15,4/14/15,4/14/15,28,27.5,27.74,0.69,"19,200",13,7,2015
ERCOT North 345KV Peak,4/14/15,4/15/15,4/15/15,28.5,28,28.38,0.64,"12,000",12,10,2015
