"Hawaiian Paradise Park, HI","Hawaiian Paradise Park, HI Urban Cluster",91,137,HI,12/23/2016
"Captain Cook, HI","Captain Cook, HI Urban Cluster",18,28,HI,12/23/2016
"Waimea (Hawaii County), HI","Waimea (Hawaii County), HI Urban Cluster",31,47,HI,12/23/2016
"Waikoloa Village, HI","Waikoloa Village, HI Urban Cluster",18,27,HI,12/23/2016
"Kapaau, HI","Kapaau, HI Urban Cluster",16,24,HI,12/23/2016
"Kailua (Hawaii County)--Holualoa, HI","Kailua (Hawaii County)--Holualoa, HI Urban Cluster",128,193,HI,12/23/2016
"Honokaa, HI","Honokaa, HI Urban Cluster",12,18,HI,12/23/2016
"Hilo, HI","Hilo, HI Urban Cluster",195,294,HI,12/23/2016
"Magnolia, AR","Magnolia, AR Urban Cluster",46,70,AR,12/23/2016
"Four Corners, MT","Four Corners, MT Urban Cluster",11,17,MT,12/23/2016
"Bozeman, MT","Bozeman, MT Urban Cluster",191,289,MT,12/23/2016
"Belgrade, MT","Belgrade, MT Urban Cluster",61,92,MT,12/23/2016
"Raton, NM","Raton, NM Urban Cluster",29,44,NM,12/23/2016
"Tucumcari, NM","Tucumcari, NM Urban Cluster",23,35,NM,12/23/2016
"Ticonderoga, NY","Ticonderoga, NY Urban Cluster",13,19,NY,12/23/2016
"Saranac Lake, NY","Saranac Lake, NY Urban Cluster",34,51,NY,12/23/2016
"Lake Placid, NY","Lake Placid, NY Urban Cluster",16,24,NY,12/23/2016
"Wurtsboro, NY","Wurtsboro, NY Urban Cluster",19,28,NY,12/23/2016
"Watchtower, NY","Watchtower, NY Urban Cluster",17,26,NY,12/23/2016
"Poughkeepsie--Newburgh, NY","Poughkeepsie--Newburgh, NY--NJ Urbanized Area",1876,2832,NY,12/23/2016
"Kingston, NY","Kingston, NY Urbanized Area",254,384,NY,12/23/2016
"Ellenville, NY","Ellenville, NY Urban Cluster",29,44,NY,12/23/2016
"Seaside, OR","Seaside, OR Urban Cluster",38,57,OR,12/23/2016
"Astoria, OR","Astoria, OR Urban Cluster",63,94,OR,12/23/2016
"Kanab, UT","Kanab, UT Urban Cluster",14,21,UT,12/23/2016
"North Eagle Butte, SD","North Eagle Butte, SD Urban Cluster",12,18,SD,12/23/2016
"Newport, WA","Newport, WA--ID Urban Cluster",12,18,WA,12/23/2016
"Connell, WA","Connell, WA Urban Cluster",18,27,WA,12/23/2016
"Kennewick--Pasco, WA","Kennewick--Pasco, WA Urbanized Area",935,1410,WA,12/23/2016
"Granite Falls, WA","Granite Falls, WA Urban Cluster",27,41,WA,12/23/2016
"Sultan, WA","Sultan, WA Urban Cluster",35,53,WA,12/23/2016
"Stanwood, WA","Stanwood, WA Urban Cluster",28,42,WA,12/23/2016
"Marysville, WA","Marysville, WA Urbanized Area",643,970,WA,12/23/2016
"Seattle, WA","Seattle, WA Urbanized Area",13553,20452,WA,12/23/2016
"Moscow, ID","Moscow, ID Urban Cluster",107,162,ID,12/23/2016
"Ellensburg, WA","Ellensburg, WA Urban Cluster",93,140,WA,12/23/2016
"Cle Elum, WA","Cle Elum, WA Urban Cluster",16,24,WA,12/23/2016
"Pierre, SD","Pierre, SD Urban Cluster",64,96,SD,12/23/2016
"Weiser, ID-","Weiser, ID--OR Urban Cluster",25,38,D-,12/23/2016
"Bismarck, ND","Bismarck, ND Urbanized Area",363,548,ND,12/23/2016
"Lakeview, OR","Lakeview, OR Urban Cluster",13,19,OR,12/23/2016
"Holloman AFB, NM","Holloman AFB, NM Urban Cluster",14,20,NM,12/23/2016
"Tularosa, NM","Tularosa, NM Urban Cluster",12,18,NM,12/23/2016
"Alamogordo, NM","Alamogordo, NM Urban Cluster",141,213,NM,12/23/2016
"Chaparral, NM","Chaparral, NM Urban Cluster",55,82,NM,12/23/2016
"South Fallsburg, NY","South Fallsburg, NY Urban Cluster",15,23,NY,12/23/2016
"Otisville, NY","Otisville, NY Urban Cluster",19,28,NY,12/23/2016
