US,15014,7645138.96565,7177819.34481,14822958.31047,12/23/2016
CA,509,512631.02534,481295.74976,1527184.64973,12/23/2016
NY,486,82002.86893,76990.33092,1187922.45309,12/23/2016
TX,125,40827.80105,38332.14563,1085833.53998,12/23/2016
IL,745,179074.14643,168127.99325,993926.77510,12/23/2016
OH,623,67816.37615,63671.00700,807079.06663,12/23/2016
PA,324,57847.42341,54311.42019,700405.13415,12/23/2016
FL,376,360595.34867,338553.46266,699148.81132,12/23/2016
MI,274,114522.43322,107522.09218,586575.06303,12/23/2016
NJ,88,86377.41082,81097.47293,513466.70558,12/23/2016
IN,330,178584.07001,167667.87342,415387.10470,12/23/2016
MO,202,111306.77793,104502.99823,347202.13968,12/23/2016
GA,393,302533.93261,284041.13041,346251.94343,12/23/2016
MA,247,146418.86867,137468.81420,321511.58479,12/23/2016
VA,22,30532.42637,28666.08986,318871.67303,12/23/2016
TN,466,42718.91948,40107.66685,318823.08834,12/23/2016
WA,135,30156.33152,28312.98433,283887.68286,12/23/2016
NC,130,94625.10872,88841.01897,280751.17533,12/23/2016
WI,20,29315.88372,27523.91006,279158.19927,12/23/2016
LA,256,164437.27121,154385.81713,222044.52540,12/23/2016
SC,45,51577.77151,48425.00938,216805.54743,12/23/2016
MN,185,111820.36028,104985.18715,215809.77616,12/23/2016
MD,309,144801.17297,135950.00237,197196.24853,12/23/2016
CO,803,416261.82112,390817.24551,187983.64444,12/23/2016
AZ,754,560033.16834,525800.37165,183466.12770,12/23/2016
KY,228,164462.32941,154409.34362,181424.28064,12/23/2016
OR,52,61862.50200,58081.07159,178860.04063,12/23/2016
AL,499,787665.90507,739518.74466,177761.51057,12/23/2016
CT,834,361243.31396,339161.82018,167474.88375,12/23/2016
IA,152,264827.31964,248639.38595,159396.06586,12/23/2016
DC,87,10185.60644,9562.99725,159082.63008,12/23/2016
OK,363,65182.15994,61197.81088,158993.19985,12/23/2016
KS,119,165823.89920,155687.68558,131487.38315,12/23/2016
AR,583,612686.89044,575235.56266,126379.97082,12/23/2016
NV,1,82048.99377,77033.63632,119943.57360,12/23/2016
MS,165,101706.60215,95489.64638,112158.84360,12/23/2016
UT,258,36610.70453,34372.82492,105863.04102,12/23/2016
PR,112,54600.27904,51262.76198,100002.78089,12/23/2016
NE,189,92249.45772,86610.58290,82826.58633,12/23/2016
NM,763,82210.65246,77185.41340,79159.94668,12/23/2016
WV,17,23086.81281,21675.59967,70983.52945,12/23/2016
HI,42,13535.20117,12707.84341,59198.51623,12/23/2016
ID,479,214241.45393,201145.65077,58870.89200,12/23/2016
ME,589,143979.57426,135178.62501,58469.31585,12/23/2016
RI,285,13244.92513,12435.31089,56839.79378,12/23/2016
DE,96,11527.21836,10822.60131,44762.41248,12/23/2016
NH,284,91682.87616,86078.63441,42103.58279,12/23/2016
MT,268,96955.07839,91028.56605,34279.29711,12/23/2016
SD,159,17680.00588,16599.29123,26243.04457,12/23/2016
AK,21,13369.55090,12552.31874,25921.86964,12/23/2016
ND,258,93571.99880,87852.28184,25680.23603,12/23/2016
WY,86,21715.48585,20388.09695,22349.81967,12/23/2016
VT,178,30363.44979,28507.44221,19748.60369,12/23/2016
