product_name,period,vintage,publication_date,price_type,price,yearID,monthID,dayID
Ethanol RIN,Current Year,2010,1/4/10,average,0.003,2010,1,4
Ethanol RIN,Current Year,2010,1/5/10,average,0.003,2010,1,5
Ethanol RIN,Current Year,2010,1/6/10,average,0.003,2010,1,6
Ethanol RIN,Current Year,2010,1/7/10,average,0.003,2010,1,7
Ethanol RIN,Current Year,2010,1/8/10,average,0.00275,2010,1,8
Ethanol RIN,Current Year,2010,1/11/10,average,0.00275,2010,1,11
Ethanol RIN,Current Year,2010,1/12/10,average,0.00275,2010,1,12
Ethanol RIN,Current Year,2010,1/13/10,average,0.00275,2010,1,13
Ethanol RIN,Current Year,2010,1/14/10,average,0.00275,2010,1,14
Ethanol RIN,Current Year,2010,1/15/10,average,0.00275,2010,1,15
Ethanol RIN,Current Year,2010,1/19/10,average,0.00275,2010,1,19
Ethanol RIN,Current Year,2010,1/20/10,average,0.0015,2010,1,20
Ethanol RIN,Current Year,2010,1/21/10,average,0.002,2010,1,21
Ethanol RIN,Current Year,2010,1/22/10,average,0.003,2010,1,22
Ethanol RIN,Current Year,2010,1/25/10,average,0.003,2010,1,25
Ethanol RIN,Current Year,2010,1/26/10,average,0.001,2010,1,26
Ethanol RIN,Current Year,2010,1/27/10,average,0.002,2010,1,27
Ethanol RIN,Current Year,2010,1/28/10,average,0.00225,2010,1,28
Ethanol RIN,Current Year,2010,1/29/10,average,0.0015,2010,1,29
Ethanol RIN,Current Year,2010,2/1/10,average,0.0015,2010,2,1
Ethanol RIN,Current Year,2010,2/2/10,average,0.0015,2010,2,2
Ethanol RIN,Current Year,2010,2/3/10,average,0.0015,2010,2,3
Ethanol RIN,Current Year,2010,2/4/10,average,0.0015,2010,2,4
Ethanol RIN,Current Year,2010,2/5/10,average,0.0015,2010,2,5
Ethanol RIN,Current Year,2010,2/8/10,average,0.0035,2010,2,8
Ethanol RIN,Current Year,2010,2/9/10,average,0.0035,2010,2,9
Ethanol RIN,Current Year,2010,2/10/10,average,0.0035,2010,2,10
Ethanol RIN,Current Year,2010,2/11/10,average,0.0035,2010,2,11
Ethanol RIN,Current Year,2010,2/12/10,average,0.0035,2010,2,12
Ethanol RIN,Current Year,2010,2/16/10,average,0.0035,2010,2,16
Ethanol RIN,Current Year,2010,2/17/10,average,0.0035,2010,2,17
Ethanol RIN,Current Year,2010,2/18/10,average,0.0035,2010,2,18
Ethanol RIN,Current Year,2010,2/19/10,average,0.0035,2010,2,19
Ethanol RIN,Current Year,2010,2/22/10,average,0.00175,2010,2,22
Ethanol RIN,Current Year,2010,2/23/10,average,0.001,2010,2,23
Ethanol RIN,Current Year,2010,2/24/10,average,0.00125,2010,2,24
Ethanol RIN,Current Year,2010,2/25/10,average,0.0025,2010,2,25
Ethanol RIN,Current Year,2010,2/26/10,average,0.0025,2010,2,26
Ethanol RIN,Current Year,2010,3/1/10,average,0.02625,2010,3,1
Ethanol RIN,Current Year,2010,3/2/10,average,0.02625,2010,3,2
Ethanol RIN,Current Year,2010,3/3/10,average,0.025,2010,3,3
Ethanol RIN,Current Year,2010,3/4/10,average,0.0225,2010,3,4
Ethanol RIN,Current Year,2010,3/5/10,average,0.01125,2010,3,5
