RIN Year,Fuel Code,Fuel Code Description,Sep Reason Cd,Sep Reason Cd Description,RIN Quantity
2010,4,Biomass-Based Diesel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),160173026
2010,4,Biomass-Based Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),109860366
2010,4,Biomass-Based Diesel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),10808105
2010,4,Biomass-Based Diesel,40,Upstream Delegation for Blending as per 40 CFR 80.1440,369370
2010,4,Biomass-Based Diesel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),11364313
2010,4,Biomass-Based Diesel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),11679354
2010,4,Biomass-Based Diesel,70,Use in a non-road engine or vehicle,4726943
2010,4,Biomass-Based Diesel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),625042
2010,4,Biomass-Based Diesel,90,Delayed RIN Separation per 40 CFR 80.1426(g)(8) only,6061590
2010,5,Advanced Biofuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),4291939
2010,5,Advanced Biofuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),3881692
2010,5,Advanced Biofuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),43773
2010,5,Advanced Biofuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),115287
2010,5,Advanced Biofuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),2310464
2010,5,Advanced Biofuel,70,Use in a non-road engine or vehicle,299482
2010,5,Advanced Biofuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),17600719
2010,5,Advanced Biofuel,90,Delayed RIN Separation per 40 CFR 80.1426(g)(8) only,10400
2010,6,Renewable Fuel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),5713216673
2010,6,Renewable Fuel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),896403383
2010,6,Renewable Fuel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),31137164
2010,6,Renewable Fuel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),99075488
2010,6,Renewable Fuel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),2972
2010,6,Renewable Fuel,70,Use in a non-road engine or vehicle,7737
2010,6,Renewable Fuel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),8011
2011,4,Biomass-Based Diesel,10,Receipt of Renewable Fuel by Obligated Party as per 40 CFR 80.1429(b)(1),1075151604
2011,4,Biomass-Based Diesel,20,Blending to Produce a Transportation Fuel as per 40 CFR 80.1429(b)(2),455618134
2011,4,Biomass-Based Diesel,30,Designation of Renewable Fuel and used without further blending as Transportation Fuel as per 40 CFR 80.1429(b)(4),71090030
2011,4,Biomass-Based Diesel,40,Upstream Delegation for Blending as per 40 CFR 80.1440,774551
2011,4,Biomass-Based Diesel,50,Export of Renewable Fuel as per 40 CFR 80.1429(b)(4),22487215
2011,4,Biomass-Based Diesel,60,Use as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(2),16493920
2011,4,Biomass-Based Diesel,70,Use in a non-road engine or vehicle,13154434
2011,4,Biomass-Based Diesel,80,Designation of Renewable Fuel and used without further blending as Heating Oil or Jet Fuel as per 40 CFR 80.1429(b)(4),21753922
