RIN Year,Fuel Code,Fuel Code Description,Ret Reason Cd,Ret Reason Cd Description,RIN Quantity
2010,4,Biomass-Based Diesel,10,Reported spill,76007
2010,4,Biomass-Based Diesel,120,Remedial Action - Retire for Compliance,2902905
2010,4,Biomass-Based Diesel,130,Remediation of Invalid RIN Use for Compliance,9539897
2010,4,Biomass-Based Diesel,20,Contaminated or spoiled fuel,77147
2010,4,Biomass-Based Diesel,50,Invalid RIN,13041810
2010,4,Biomass-Based Diesel,60,Volume error correction,770313
2010,4,Biomass-Based Diesel,70,Enforcement Obligation,6919575
2010,4,Biomass-Based Diesel,80,Demonstrate annual compliance,283474712
2010,4,Biomass-Based Diesel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,3718775
2010,5,Advanced Biofuel,120,Remedial Action - Retire for Compliance,101388
2010,5,Advanced Biofuel,50,Invalid RIN,57876
2010,5,Advanced Biofuel,60,Volume error correction,7392
2010,5,Advanced Biofuel,80,Demonstrate annual compliance,28388543
2010,6,Renewable Fuel,100,Delayed RIN Retire per 40CFR 80.1426(g)(3) only,6052340
2010,6,Renewable Fuel,120,Remedial Action - Retire for Compliance,13849616
2010,6,Renewable Fuel,130,Remediation of Invalid RIN Use for Compliance,3831349
2010,6,Renewable Fuel,20,Contaminated or spoiled fuel,353963
2010,6,Renewable Fuel,40,Renewable fuel used in an ocean-going vessel,1048792
2010,6,Renewable Fuel,50,Invalid RIN,5364514
2010,6,Renewable Fuel,60,Volume error correction,5871570
2010,6,Renewable Fuel,70,Enforcement Obligation,50061329
2010,6,Renewable Fuel,80,Demonstrate annual compliance,6282468743
2010,6,Renewable Fuel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,536185
2011,4,Biomass-Based Diesel,10,Reported spill,8
2011,4,Biomass-Based Diesel,110,Remedial action - Retirement pursuant to 80.1431(c),221020
2011,4,Biomass-Based Diesel,120,Remedial Action - Retire for Compliance,15130519
2011,4,Biomass-Based Diesel,130,Remediation of Invalid RIN Use for Compliance,42041159
2011,4,Biomass-Based Diesel,20,Contaminated or spoiled fuel,65977
2011,4,Biomass-Based Diesel,30,Import volume correction,6851
2011,4,Biomass-Based Diesel,40,Renewable fuel used in an ocean-going vessel,9000
2011,4,Biomass-Based Diesel,50,Invalid RIN,42804235
2011,4,Biomass-Based Diesel,60,Volume error correction,3975949
2011,4,Biomass-Based Diesel,70,Enforcement Obligation,582000
2011,4,Biomass-Based Diesel,80,Demonstrate annual compliance,1556159330
2011,4,Biomass-Based Diesel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,7502825
2011,5,Advanced Biofuel,110,Remedial action - Retirement pursuant to 80.1431(c),25792
2011,5,Advanced Biofuel,120,Remedial Action - Retire for Compliance,1635966
2011,5,Advanced Biofuel,30,Import volume correction,64425
2011,5,Advanced Biofuel,50,Invalid RIN,3535076
2011,5,Advanced Biofuel,60,Volume error correction,778
2011,5,Advanced Biofuel,80,Demonstrate annual compliance,220559902
2011,5,Advanced Biofuel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,47792
2011,6,Renewable Fuel,10,Reported spill,78800
2011,6,Renewable Fuel,110,Remedial action - Retirement pursuant to 80.1431(c),638322
2011,6,Renewable Fuel,120,Remedial Action - Retire for Compliance,296819853
2011,6,Renewable Fuel,130,Remediation of Invalid RIN Use for Compliance,15534810
2011,6,Renewable Fuel,20,Contaminated or spoiled fuel,3466919
2011,6,Renewable Fuel,30,Import volume correction,70663
2011,6,Renewable Fuel,40,Renewable fuel used in an ocean-going vessel,4195168
2011,6,Renewable Fuel,50,Invalid RIN,20308085
2011,6,Renewable Fuel,60,Volume error correction,7707302
2011,6,Renewable Fuel,70,Enforcement Obligation,235287
2011,6,Renewable Fuel,80,Demonstrate annual compliance,12795003416
2011,6,Renewable Fuel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,1950301
2012,4,Biomass-Based Diesel,10,Reported spill,525
2012,4,Biomass-Based Diesel,110,Remedial action - Retirement pursuant to 80.1431(c),399291
2012,4,Biomass-Based Diesel,120,Remedial Action - Retire for Compliance,53466
2012,4,Biomass-Based Diesel,130,Remediation of Invalid RIN Use for Compliance,40541739
2012,4,Biomass-Based Diesel,20,Contaminated or spoiled fuel,108545
2012,4,Biomass-Based Diesel,30,Import volume correction,6699
2012,4,Biomass-Based Diesel,50,Invalid RIN,7615391
2012,4,Biomass-Based Diesel,60,Volume error correction,1326539
2012,4,Biomass-Based Diesel,80,Demonstrate annual compliance,1643976251
2012,4,Biomass-Based Diesel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,40791273
2012,5,Advanced Biofuel,10,Reported spill,11
2012,5,Advanced Biofuel,110,Remedial action - Retirement pursuant to 80.1431(c),55633
2012,5,Advanced Biofuel,120,Remedial Action - Retire for Compliance,17627
2012,5,Advanced Biofuel,130,Remediation of Invalid RIN Use for Compliance,26719
2012,5,Advanced Biofuel,30,Import volume correction,99695
2012,5,Advanced Biofuel,50,Invalid RIN,29595838
2012,5,Advanced Biofuel,60,Volume error correction,13963
2012,5,Advanced Biofuel,80,Demonstrate annual compliance,595743443
2012,5,Advanced Biofuel,90,Renewable fuel used or designated to be used in any application that is not transportation fuel heating oil or jet fuel,112018
2012,6,Renewable Fuel,10,Reported spill,98707
2012,6,Renewable Fuel,110,Remedial action - Retirement pursuant to 80.1431(c),1654270
2012,6,Renewable Fuel,120,Remedial Action - Retire for Compliance,464398
