Fuel type ,Fuel Code,time,month,issued rins,monthly production,RVO monthly,RVO yearly
Renewable fuel,6,2010,7,1119536004,1118287516,1079166667,12.95
Renewable fuel,6,2010,8,1116871844,1115107123,1079166667,12.95
Renewable fuel,6,2010,9,1110929184,1108025412,1079166667,12.95
Renewable fuel,6,2010,10,1111622351,1111546981,1079166667,12.95
Renewable fuel,6,2010,11,1139098116,1138879287,1079166667,12.95
Renewable fuel,6,2010,12,1198030350,1197981699,1079166667,12.95
Renewable fuel,6,2011,1,1160570280,1160507379,1162500000,13.95
Renewable fuel,6,2011,2,1054423544,1054310409,1162500000,13.95
Renewable fuel,6,2011,3,1225930124,1225840883,1162500000,13.95
Renewable fuel,6,2011,4,1069645214,1069645214,1162500000,13.95
Renewable fuel,6,2011,5,1140451648,1140292912,1162500000,13.95
Renewable fuel,6,2011,6,1165018756,1164807744,1162500000,13.95
Renewable fuel,6,2011,7,1126486405,1126407671,1162500000,13.95
Renewable fuel,6,2011,8,1165928785,1165825582,1162500000,13.95
Renewable fuel,6,2011,9,1079540488,1079467799,1162500000,13.95
Renewable fuel,6,2011,10,1104898875,1103955518,1162500000,13.95
Renewable fuel,6,2011,11,1140604228,1140351042,1162500000,13.95
Renewable fuel,6,2011,12,1181817350,1181817350,1162500000,13.95
Renewable fuel,6,2012,1,1178481937,1178481937,1266666667,15.2
Renewable fuel,6,2012,2,1080127076,1079918366,1266666667,15.2
Renewable fuel,6,2012,3,1136870708,1136870708,1266666667,15.2
Renewable fuel,6,2012,4,1096194768,1096194768,1266666667,15.2
Renewable fuel,6,2012,5,1131920310,1131920310,1266666667,15.2
Renewable fuel,6,2012,6,1085594445,1085594445,1266666667,15.2
Renewable fuel,6,2012,7,1057188151,1057188151,1266666667,15.2
Renewable fuel,6,2012,8,1096137053,1096087508,1266666667,15.2
Renewable fuel,6,2012,9,985889758,985889758,1266666667,15.2
Renewable fuel,6,2012,10,1057113558,1057057652,1266666667,15.2
Renewable fuel,6,2012,11,1045401471,1045378800,1266666667,15.2
Renewable fuel,6,2012,12,1036922366,1036886357,1266666667,15.2
Renewable fuel,6,2013,1,1028170158,1028167094,1379166667,16.55
Renewable fuel,6,2013,2,939523039,939519958,1379166667,16.55
Renewable fuel,6,2013,3,1034794830,1034593870,1379166667,16.55
Renewable fuel,6,2013,4,1085695435,1085649989,1379166667,16.55
Renewable fuel,6,2013,5,1163340600,1154104238,1379166667,16.55
Renewable fuel,6,2013,6,1122857004,1114930158,1379166667,16.55
Renewable fuel,6,2013,7,1148269180,1136472663,1379166667,16.55
Renewable fuel,6,2013,8,1129499986,1118799501,1379166667,16.55
Renewable fuel,6,2013,9,1112976814,1095829042,1379166667,16.55
Renewable fuel,6,2013,10,1185292367,1172138698,1379166667,16.55
Renewable fuel,6,2013,11,1151423229,1140623001,1379166667,16.55
Renewable fuel,6,2013,12,1248668943,1230437323,1379166667,16.55
Renewable fuel,6,2014,1,1174626266,1164561836,1356666667,16.28
Renewable fuel,6,2014,2,1049667186,1037693400,1356666667,16.28
Renewable fuel,6,2014,3,1169255011,1160091876,1356666667,16.28
Renewable fuel,6,2014,4,1203272597,1191902000,1356666667,16.28
Renewable fuel,6,2014,5,1222057576,1213321627,1356666667,16.28
Renewable fuel,6,2014,6,1218292698,1207547567,1356666667,16.28
Renewable fuel,6,2014,7,1271527305,1258136970,1356666667,16.28
Renewable fuel,6,2014,8,1223303113,1206229071,1356666667,16.28
Renewable fuel,6,2014,9,1172450227,1167803409,1356666667,16.28
Renewable fuel,6,2014,10,1171979745,1168334208,1356666667,16.28
Renewable fuel,6,2014,11,1165927570,1149403109,1356666667,16.28
Renewable fuel,6,2014,12,1311663762,1296431295,1356666667,16.28
Renewable fuel,6,2015,1,1227376585,1213177909,1410833333,16.93
Renewable fuel,6,2015,2,1107200252,1095053656,1410833333,16.93
Renewable fuel,6,2015,3,1237748634,1222849505,1410833333,16.93
Renewable fuel,6,2015,4,1196071217,1180504446,1410833333,16.93
Renewable fuel,6,2015,5,1224987518,1214823596,1410833333,16.93
Renewable fuel,6,2015,6,1273176456,1259983256,1410833333,16.93
Renewable fuel,6,2015,7,1279153620,1259312061,1410833333,16.93
Renewable fuel,6,2015,8,1259506154,1240378694,1410833333,16.93
Renewable fuel,6,2015,9,1218031574,1202957616,1410833333,16.93
Renewable fuel,6,2015,10,1265572024,1247473898,1410833333,16.93
Renewable fuel,6,2015,11,1226862067,1215301471,1410833333,16.93
Renewable fuel,6,2015,12,1314935501,1301206927,1410833333,16.93
Renewable fuel,6,2016,1,1247310059,1234567759,1509166667,18.11
Renewable fuel,6,2016,2,1183286175,1174959250,1509166667,18.11
Renewable fuel,6,2016,3,1247237065,1236924733,1509166667,18.11
Renewable fuel,6,2016,4,1191071811,1177299624,1509166667,18.11
Renewable fuel,6,2016,5,1283378108,1265304379,1509166667,18.11
Renewable fuel,6,2016,6,1309478745,1295213528,1509166667,18.11
Renewable fuel,6,2016,7,1269674308,1255001875,1509166667,18.11
Renewable fuel,6,2016,8,1330702815,1318185159,1509166667,18.11
Renewable fuel,6,2016,9,1253900428,1238042762,1509166667,18.11
