product_name,period,vintage,publication_date,price_type,price ,,,
Ethanol RIN,Current Year,2014,1/2/14,Low,0.315,,,
Ethanol RIN,Current Year,2014,1/2/14,High,0.33,,,
Ethanol RIN,Current Year,2014,1/2/14,Average,0.3225,,,
Ethanol RIN,Current Year,2014,1/3/14,Low,0.32,,,
Ethanol RIN,Current Year,2014,1/3/14,High,0.33,,,
Ethanol RIN,Current Year,2014,1/3/14,Average,0.325,,,
Ethanol RIN,Current Year,2014,1/6/14,Low,0.32,,,
Ethanol RIN,Current Year,2014,1/6/14,High,0.335,,,
Ethanol RIN,Current Year,2014,1/6/14,Average,0.3275,,,
Ethanol RIN,Current Year,2014,1/7/14,Low,0.31,,,
Ethanol RIN,Current Year,2014,1/7/14,High,0.33,,,
Ethanol RIN,Current Year,2014,1/7/14,Average,0.32,,,
Ethanol RIN,Current Year,2014,1/8/14,Low,0.3,,,
Ethanol RIN,Current Year,2014,1/8/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/8/14,Average,0.305,,,
Ethanol RIN,Current Year,2014,1/9/14,Low,0.295,,,
Ethanol RIN,Current Year,2014,1/9/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/9/14,Average,0.3025,,,
Ethanol RIN,Current Year,2014,1/10/14,Low,0.29,,,
Ethanol RIN,Current Year,2014,1/10/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/10/14,Average,0.3,,,
Ethanol RIN,Current Year,2014,1/13/14,Low,0.3,,,
Ethanol RIN,Current Year,2014,1/13/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/13/14,Average,0.305,,,
Ethanol RIN,Current Year,2014,1/14/14,Low,0.305,,,
Ethanol RIN,Current Year,2014,1/14/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/14/14,Average,0.3075,,,
Ethanol RIN,Current Year,2014,1/15/14,Low,0.305,,,
Ethanol RIN,Current Year,2014,1/15/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/15/14,Average,0.3075,,,
Ethanol RIN,Current Year,2014,1/16/14,Low,0.305,,,
Ethanol RIN,Current Year,2014,1/16/14,High,0.31,,,
Ethanol RIN,Current Year,2014,1/16/14,Average,0.3075,,,
Ethanol RIN,Current Year,2014,1/17/14,Low,0.305,,,
Ethanol RIN,Current Year,2014,1/17/14,High,0.315,,,
Ethanol RIN,Current Year,2014,1/17/14,Average,0.31,,,
Ethanol RIN,Current Year,2014,1/21/14,Low,0.31,,,
Ethanol RIN,Current Year,2014,1/21/14,High,0.32,,,
Ethanol RIN,Current Year,2014,1/21/14,Average,0.315,,,
Ethanol RIN,Current Year,2014,1/22/14,Low,0.3125,,,
Ethanol RIN,Current Year,2014,1/22/14,High,0.325,,,
Ethanol RIN,Current Year,2014,1/22/14,Average,0.3188,,,
Ethanol RIN,Current Year,2014,1/23/14,Low,0.33,,,
Ethanol RIN,Current Year,2014,1/23/14,High,0.34,,,
Ethanol RIN,Current Year,2014,1/23/14,Average,0.335,,,
