Years,Unit Price Scenario[NoWTE],Unit Price Scenario[CF],Unit Price Scenario[Elec],Unit Price Scenario[CNG],Unit Price Scenario[PNG],Unit Price Scenario[BCFuel],Unit Price Scenario[TCFUEL],Unit Price Scenario[HTL],Unit Price Scenario[FT],
2000,0,0,0.079865657,1.21,0.632726224,0,0,0,0,
2001,0,0,0.079865657,1.53,0.563034674,0,0,0,0,
2002,0,0,0.034130707,1.37,0.472755853,0,0,0,0,
2003,0,0,0.049450853,1.52,0.752435247,0,0,0,0,
2004,0,0,0.05243824,1.67,0.782975151,0,0,0,0,
2005,0,0,0.07316396,2.06,1.125052121,0,0,0,0,
2006,0,0,0.058966495,2.04,0.840182562,0,0,0,0,
2007,0,0,0.066268377,2.03,0.845973815,0,0,0,0,
2008,0,0,0.076519737,2.1,1.0344034,0,0,0,0,
2009,0,0,0.039140605,1.75,0.464548688,0,0,0,0,
2010,0,0,0.043767288,1.9,0.505145258,0,0,0,0,
2011,0,0,0.040849286,1.98,0.448504257,0,0,0,0,
2012,0,0,0.034021639,1.99,0.301989013,0,0,0,0,
2013,0,0,0.045410438,1.98,0.405295264,0,0,0,0,
2014,0,0,0.052317561,1.97,0.464733638,0,0,0,0,
2015,0,0,0.035085143,1.93,0.27862749,0,0,0,0,
2016,0,0,0.033009736,1.93,0.293079962,0,0,0,0,
2017,0,0,0.033419413,1.94,0.307532433,0,0,0,0,
2018,0,0,0.033829089,1.95,0.321984905,0,0,0,0,
2019,0,0,0.034238766,1.95,0.336437377,0,0,0.03,0,
2020,0,0,0.034648443,1.96,0.350889849,0,0,0.08,0,
2021,0,0,0.03505812,1.97,0.36534232,0,0,0.12,0,
2022,0,0,0.035467796,1.98,0.379794792,0,0,0.24,0,
2023,0,0,0.035877473,1.98,0.394247264,0,0,0.32,0,
2024,0,0,0.03628715,1.99,0.408699735,0,0,0.6,0,
2025,0,0,0.036696826,2,0.423152207,0,0,0.81,0,
2026,0,0,0.037106503,2.01,0.437604679,0,0,1.08,0,
2027,0,0,0.03751618,2.02,0.45205715,0,0,1.44,0,
2028,0,0,0.037925857,2.02,0.466509622,0,0,1.75,0,
2029,0,0,0.038335533,2.03,0.480962094,0,0,1.89,0,
2030,0,0,0.03874521,2.04,0.495414566,0,0,2.27,0,
2031,0,0,0.038474492,2.05,0.509867037,0,0,2.78,0,
2032,0,0,0.038203774,2.06,0.524319509,0,0,3.23,0,
2033,0,0,0.037933057,2.07,0.538771981,0,0,3.46,0,
2034,0,0,0.037662339,2.07,0.553224452,0,0,3.69,0,
2035,0,0,0.037391621,2.08,0.567676924,0,0,3.85,0,
2036,0,0,0.037120903,2.09,0.582129396,0,0,4.01,0,
2037,0,0,0.036850185,2.1,0.596581867,0,0,4.1,0,
2038,0,0,0.036579467,2.11,0.611034339,0,0,4.21,0,
2039,0,0,0.03630875,2.11,0.625486811,0,0,4.35,0,
2040,0,0,0.036038032,2.12,0.639939283,0,0,4.38,0,
