Years,Unit Price Scenario[NoWTE],Unit Price Scenario[CF],Unit Price Scenario[Elec],Unit Price Scenario[CNG],Unit Price Scenario[PNG],Unit Price Scenario[BCFuel],Unit Price Scenario[TCFUEL],Unit Price Scenario[HTL],Unit Price Scenario[FT],Unit Price Incentive[NoWTE],Unit Price Incentive[CF],Unit Price Incentive[Elec],Unit Price Incentive[CNG],Unit Price Incentive[PNG],Unit Price Incentive[BCFuel],Unit Price Incentive[TCFUEL],Unit Price Incentive[HTL],Unit Price Incentive[FT],RIN Scenario[NoWTE],RIN Scenario[CF],RIN Scenario[Elec],RIN Scenario[CNG],RIN Scenario[PNG],RIN Scenario[BCFuel],RIN Scenario[TCFUEL],RIN Scenario[HTL],RIN Scenario[FT]
2000,0,0,22.18508234,9.944817068,5.188066584,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,22.18508234,12.55637187,4.616627641,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,9.480827755,11.23604028,3.876382468,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,13.73645804,12.44075829,6.169625997,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,14.56629418,13.70417138,6.42003928,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,20.32348485,16.91540763,9.224914491,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,16.37971294,16.72093229,6.889113974,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,18.4080298,16.68421394,6.936599612,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,21.25565263,17.22560226,8.481636304,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,10.87247729,14.3434625,3.809087453,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,12.15767727,15.55863494,4.141960826,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,11.34711462,16.20537398,3.677530436,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
