Years,Unit Price Scenario[NoWTE],Unit Price Scenario[CF],Unit Price Scenario[Elec],Unit Price Scenario[CNG],Unit Price Scenario[PNG],Unit Price Scenario[BCFuel],Unit Price Scenario[TCFUEL],Unit Price Scenario[HTL],Unit Price Scenario[FT],Unit Price Incentive[NoWTE],Unit Price Incentive[CF],Unit Price Incentive[Elec],Unit Price Incentive[CNG],Unit Price Incentive[PNG],Unit Price Incentive[BCFuel],Unit Price Incentive[TCFUEL],Unit Price Incentive[HTL],Unit Price Incentive[FT],RIN Scenario[NoWTE],RIN Scenario[CF],RIN Scenario[Elec],RIN Scenario[CNG],RIN Scenario[PNG],RIN Scenario[BCFuel],RIN Scenario[TCFUEL],RIN Scenario[HTL],RIN Scenario[FT]
2000,0,0,29.05329952,9.944817068,7.307862969,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,29.33008689,12.55637187,8.431909887,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,28.38684027,11.23604028,6.409622556,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,28.82437554,12.44075829,7.650935134,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,28.57736523,13.70417138,8.552395419,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,29.3302027,16.91540763,10.63264044,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,31.20824951,16.72093229,9.78176331,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,31.06558924,16.68421394,9.270115267,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,31.59887013,17.22560226,12.32639697,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,32.60554376,14.3434625,8.613261385,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,32.0446783,15.55863494,6.491677358,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2011,0,0,31.57043786,16.20537398,7.536162278,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2012,0,0,31.34597006,16.31914266,7.933349066,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2013,0,0,31.91157802,16.24370685,9.529159161,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2014,0,0,31.95033908,16.16212139,9.398475983,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2015,0,0,32.54976674,15.84151921,9.534398843,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2016,0,0,33.30154091,15.82873782,9.670321703,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2017,0,0,33.50208279,15.89164123,9.806244564,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2018,0,0,33.70383233,15.95479461,9.942167424,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2019,0,0,33.90679681,16.01819896,10.07809028,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2020,0,0,34.11098354,16.08185528,10.21401314,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2021,0,0,34.31639989,16.14576458,10.34993601,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2022,0,0,34.52305325,16.20992785,10.48585887,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2023,0,0,34.73095107,16.2743461,10.62178173,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2024,0,0,34.94010086,16.33902035,10.75770459,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2025,0,0,35.15051015,16.40395162,10.89362745,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2026,0,0,35.36218652,16.46914092,11.02955031,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2027,0,0,35.57513761,16.53458929,11.16547317,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2028,0,0,35.78937108,16.60029774,11.30139603,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2029,0,0,36.00489468,16.66626733,11.43731889,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2030,0,0,36.22171615,16.73249907,11.57324175,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2031,0,0,36.43984333,16.79899403,11.70916461,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2032,0,0,36.65928406,16.86575323,11.84508747,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2033,0,0,36.88004627,16.93277773,11.98101033,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2034,0,0,37.10213791,17.00006859,12.11693319,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2035,0,0,37.32556699,17.06762686,12.25285605,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2036,0,0,37.55034155,17.13545361,12.38877891,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2037,0,0,37.77646971,17.2035499,12.52470177,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2038,0,0,38.00395961,17.27191681,12.66062463,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2039,0,0,38.23281945,17.34055541,12.79654749,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
2040,0,0,38.46305749,17.40946678,12.93247035,0,0,0,0,0,0,3.333333333,2.584645802,2.584645802,0,0,0,0,0,0,0,8.616519297,0,0,0,0,0
