7c. U.S. Regional Retail Electricity Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/outlooks/steo/data/browser/#?v=21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu May 11 2017 09:18:11 GMT-0600 (Mountain Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove,,map,linechart,units,source key,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7c. U.S. Regional Retail Electricity Prices,7c. U.S. Regional Retail Electricity Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Sector,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England,Electricity Residential Price: New England,1,1,cents per kilowatthour,ESRCU_NEC,9.79,10.45,10.9,11.25,11.45,11.74,11.82,12.06,11.56,11.16,11.17,12.08,11.23,11.68,11.91,13.41,15.98,16.7,17.66,17.49,16.23,15.89,15.71,16.22,17.82,19.43,18.85,18.27,18.46
Middle Atlantic,Electricity Residential Price: Middle Atlantic,1,1,cents per kilowatthour,ESRCU_MAC,10.36,10.8,11.03,11.36,11.54,11.79,11.84,11.97,11.68,11.26,11.39,11.46,11.33,11.62,11.81,12.46,13.36,13.95,14.88,14.84,15.81,15.8,15.27,15.7,16.39,15.97,15.76,16.32,16.81
East North Central,Electricity Residential Price: East North Central,1,1,cents per kilowatthour,ESRCU_ENC,8.11,8.17,8.33,8.35,8.39,8.48,8.47,8.55,8.51,8.26,8.22,8.13,8.05,8.15,8.28,8.39,9.14,9.74,10.39,10.93,11.41,11.79,12.05,12.14,12.65,12.96,12.91,13.43,14
West North Central,Electricity Residential Price: West North Central,1,1,cents per kilowatthour,ESRCU_WNC,7.21,7.22,7.34,7.28,7.33,7.33,7.23,7.26,7.32,7.35,7.35,7.37,7.37,7.42,7.57,7.76,8.12,8.31,8.67,9.14,9.64,10.12,10.59,10.94,11.09,11.47,11.73,12.03,12.27
South Atlantic,Electricity Residential Price: South Atlantic,1,1,cents per kilowatthour,ESRCU_SAC,7.51,7.66,7.73,7.85,7.84,7.87,7.84,7.9,7.8,7.72,7.7,8.05,7.91,8.1,8.33,8.81,9.76,10.03,10.67,11.32,10.96,11.19,11.38,11.39,11.74,11.74,11.65,11.96,12.29
East South Central,Electricity Residential Price: East South Central,1,1,cents per kilowatthour,ESRCU_ESC,6.13,6.12,6.18,6.25,6.26,6.23,6.18,6.27,6.45,6.41,6.43,6.51,6.57,6.78,7.12,7.41,8.16,8.35,9.32,9.61,9.58,10.14,10.32,10.4,10.75,10.82,10.82,11.23,11.37
West South Central,Electricity Residential Price: West South Central,1,1,cents per kilowatthour,ESRCU_WSC,7.24,7.53,7.71,7.9,7.9,7.56,7.61,7.62,7.42,7.36,7.77,8.45,7.7,8.61,9.05,10.02,11.48,11.15,11.86,11.04,10.67,10.42,10.3,10.74,11.12,10.95,10.56,10.77,10.83
Mountain,Electricity Residential Price: Mountain,1,1,cents per kilowatthour,ESRCU_MTN,7.28,7.35,7.59,7.61,7.68,7.62,7.58,7.52,7.54,7.43,7.42,7.8,7.87,8.02,8.24,8.65,8.98,9.31,9.84,10.18,10.49,10.56,10.94,11.32,11.67,11.83,11.68,11.89,12.14
