U.S. Total Gasoline Wholesale per Resale Price by Refiners
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMA_EPM0_PWG_NUS_DPG&f=M
10:49:16 MDT
Source: U.S. Energy Information Administration
Month,U.S. Total Gasoline Wholesale/Resale Price by Refiners Dollars per Gallon
Feb 2017,1.625
Jan 2017,1.627
Dec 2016,1.585
Nov 2016,1.427
Oct 2016,1.568
Sep 2016,1.514
Aug 2016,1.508
Jul 2016,1.49
Jun 2016,1.643
May 2016,1.613
Apr 2016,1.476
Mar 2016,1.335
Feb 2016,1.046
Jan 2016,1.187
Dec 2015,1.356
Nov 2015,1.426
Oct 2015,1.558
Sep 2015,1.609
Aug 2015,1.838
Jul 2015,2.072
Jun 2015,2.121
May 2015,2.08
Apr 2015,1.835
Mar 2015,1.77
Feb 2015,1.637
Jan 2015,1.366
Dec 2014,1.634
Nov 2014,2.111
Oct 2014,2.333
Sep 2014,2.669
Aug 2014,2.759
Jul 2014,2.855
Jun 2014,3.001
May 2014,2.951
Apr 2014,2.981
Mar 2014,2.855
Feb 2014,2.699
Jan 2014,2.604
Dec 2013,2.581
Nov 2013,2.544
Oct 2013,2.632
Sep 2013,2.792
Aug 2013,2.89
Jul 2013,2.942
Jun 2013,2.882
May 2013,2.951
Apr 2013,2.853
Mar 2013,2.987
Feb 2013,3.02
Jan 2013,2.676
Dec 2012,2.59
Nov 2012,2.713
Oct 2012,2.941
Sep 2012,3.163
Aug 2012,3.087
Jul 2012,2.806
Jun 2012,2.757
May 2012,3.016
Apr 2012,3.189
Mar 2012,3.203
Feb 2012,2.936
Jan 2012,2.747
Dec 2011,2.614
Nov 2011,2.701
Oct 2011,2.805
Sep 2011,2.896
Aug 2011,2.949
Jul 2011,3.058
Jun 2011,2.97
May 2011,3.174
Apr 2011,3.218
Mar 2011,2.934
Feb 2011,2.584
Jan 2011,2.472
Dec 2010,2.383
Nov 2010,2.243
Oct 2010,2.198
Sep 2010,2.088
Aug 2010,2.095
Jul 2010,2.113
Jun 2010,2.113
May 2010,2.152
Apr 2010,2.265
Mar 2010,2.197
Feb 2010,2.033
Jan 2010,2.097
Dec 2009,1.999
Nov 2009,2.039
Oct 2009,1.975
Sep 2009,1.915
Aug 2009,2.026
Jul 2009,1.867
Jun 2009,2.022
May 2009,1.763
Apr 2009,1.482
Mar 2009,1.397
Feb 2009,1.333
Jan 2009,1.246
Dec 2008,1.061
Nov 2008,1.393
Oct 2008,2.149
Sep 2008,3
Aug 2008,3.078
Jul 2008,3.347
Jun 2008,3.416
May 2008,3.172
Apr 2008,2.861
Mar 2008,2.64
Feb 2008,2.436
Jan 2008,2.395
Dec 2007,2.358
Nov 2007,2.458
Oct 2007,2.218
Sep 2007,2.195
Aug 2007,2.152
Jul 2007,2.307
Jun 2007,2.361
May 2007,2.495
Apr 2007,2.264
Mar 2007,1.995
Feb 2007,1.717
Jan 2007,1.57
Dec 2006,1.728
Nov 2006,1.667
Oct 2006,1.641
Sep 2006,1.8
Aug 2006,2.26
Jul 2006,2.395
Jun 2006,2.279
May 2006,2.263
Apr 2006,2.197
Mar 2006,1.871
Feb 2006,1.66
Jan 2006,1.749
Dec 2005,1.608
Nov 2005,1.601
Oct 2005,1.97
Sep 2005,2.206
Aug 2005,1.955
Jul 2005,1.714
Jun 2005,1.607
May 2005,1.541
Apr 2005,1.644
Mar 2005,1.53
Feb 2005,1.342
Jan 2005,1.282
Dec 2004,1.194
Nov 2004,1.383
Oct 2004,1.459
Sep 2004,1.328
Aug 2004,1.31
Jul 2004,1.341
