Years,Global Outputs.global total energy prod by source[CAFO],Global Outputs.global total energy prod by source[POTW],Global Outputs.global total energy prod by config[NoWTE],Global Outputs.global total energy prod by config[CF],Global Outputs.global total energy prod by config[Elec],Global Outputs.global total energy prod by config[CNG],Global Outputs.global total energy prod by config[PNG],Global Outputs.global total energy prod by config[BCFuel],Global Outputs.global total energy prod by config[TCFUEL],Global Outputs.global total energy prod by config[HTL],Global Outputs.global total energy prod by config[CHP],Global Outputs.CA yrly energy prodn for HTL,Global Outputs.ROTUS yrly energy prodn for HTL
2015,4102544.79193,13190460.1795,0,0,159283352.451,17848008.6857,930082.076925,0,0,0,42101889.6506,0,0
2016,4102544.79193,13218226.438,0,0,160150595.065,17755289.8779,931966.04509,0,0,0,42386258.6556,0,0
2017,4102544.79193,13236020.3078,0,0,160345558.026,17590562.0646,933173.376801,0,0,0,42531494.314,0,0
2018,4102544.79193,13252249.8814,0,0,159439930.372,17380815.6565,934274.569461,0,0,0,42477096.8103,0,0
2019,4102544.79193,13271608.0475,0,0,161518502.67,20468289.3416,7728038.29079,0,0,0,44755776.4686,0,0
2020,4102544.79193,13286273.3249,0,0,162485804.726,23815442.0385,14536453.0241,0,0,0,46391832.1551,0,0
2021,4102544.79193,13305631.491,0,0,160631815.484,25025537.402,17211998.9673,0,0,0,47623366.1879,0,0
2022,12001341.1442,19550186.2677,0,0,163943259.485,29806775.0434,27883760.5221,0,0,0,58415177.8698,0,0
2023,17488634.1604,24956911.9928,0,0,165828068.512,34458492.8841,36576592.3507,0,0,0,66964792.6956,0,0
2024,20958724.3648,28582817.8363,0,0,163971927.475,36788979.3976,41257841.6153,0,0,0,71419499.7955,0,0
2025,23415051.5725,31430039.2046,0,0,160398576.383,38083231.3447,44458563.0542,0,0,0,74118929.876,0,0
2026,26257358.0233,33783468.3425,0,0,155750927.199,39395871.4151,45598126.1026,0,0,0,77105388.2315,0,0
2027,28901629.924,36097908.1918,0,0,151405569.38,40174463.3442,47607048.3743,0,0,0,79456556.8528,0,0
2028,30970303.5644,38544513.6695,0,0,145631390.265,39547554.3683,48839741.3196,0,0,0,80448616.2207,0,0
2029,32786395.2963,40691421.5269,0,0,139169996.207,39041795.7435,48651423.9869,0,0,0,81218272.4234,0,0
2030,34364808.84,42307266.4845,0,0,132899843.583,37739057.2629,47783226.519,0,0,0,81526532.479,0,0
2031,35809153.4518,44093704.2092,0,0,126296470.905,36712565.6293,47631190.3331,0,0,22958.6978601,81857479.7197,0,22958.6978601
2032,36977646.4601,45469899.2517,0,0,119406618.079,35217922.6988,46469097.2936,0,0,23432.2967498,81720644.93,0,23432.2967498
2033,38026928.185,46710792.382,0,0,112974686.311,33747860.5876,44515203.7724,0,0,48027.5819781,81321428.6009,0,48027.5819781
2034,38895114.7896,47726986.5012,0,0,106501423.784,32122401.4142,42968553.3327,0,0,49642.9174003,80724017.4475,0,49642.9174003
2035,39569737.9583,48998683.0182,0,0,100310647.675,30751082.0356,41274898.7812,0,0,51092.1542581,80056392.2265,0,51092.1542581
2036,40117192.3192,50305432.9417,0,0,94146382.2498,29072925.4556,39414071.7985,0,0,52398.7466184,79514394.4698,0,52398.7466184
2037,40589093.3856,51080376.0152,0,0,88402481.7038,27650072.3461,37535285.1597,0,0,53582.3437824,78657051.4426,0,53582.3437824
2038,41036434.1317,51913035.6048,0,0,83027767.4057,26179867.0288,35755897.2603,0,0,68632.8577129,77916730.4027,0,68632.8577129
2039,41367689.1819,52596789.6421,0,0,78084203.4634,24858355.2948,34029262.4271,0,0,70123.2685215,76957316.703,0,70123.2685215
2040,41622359.7168,53276820.3412,0,0,73527180.1813,23584664.8718,32345203.9858,0,0,71464.8509614,76169306.52,0,71464.8509614
