Years,Global Outputs.global total energy prod by source[CAFO],Global Outputs.global total energy prod by source[POTW],Global Outputs.global total energy prod by config[NoWTE],Global Outputs.global total energy prod by config[CF],Global Outputs.global total energy prod by config[Elec],Global Outputs.global total energy prod by config[CNG],Global Outputs.global total energy prod by config[PNG],Global Outputs.global total energy prod by config[BCFuel],Global Outputs.global total energy prod by config[TCFUEL],Global Outputs.global total energy prod by config[HTL],Global Outputs.global total energy prod by config[CHP],Global Outputs.CA yrly energy prodn for HTL,Global Outputs.ROTUS yrly energy prodn for HTL
2015,4102544.79193,13190460.1795,0,0,159283352.451,17848008.6857,930082.076925,0,0,0,42101889.6506,0,0
2016,4102544.79193,13218289.7773,0,0,160150599.31,17755290.4697,931971.230927,0,0,0,42386316.0389,0,0
2017,4102544.79193,13236124.2378,0,0,160345577.529,17590563.6447,933181.885956,0,0,0,42531588.3764,0,0
2018,4102544.79193,13252390.8337,0,0,159439968.026,17380818.3915,934286.109774,0,0,0,42477223.9408,0,0
2019,4102544.79193,13271793.1589,0,0,161518550.617,20468293.1298,7728053.95778,0,0,0,44755943.4776,0,0
2020,4102544.79193,13286491.8901,0,0,162485849.948,23815449.171,14536476.9042,0,0,0,46392029.1331,0,0
2021,4102544.79193,13305894.2153,0,0,160631827.427,25025542.1526,17212024.8263,0,0,0,47623602.0815,0,0
2022,12059355.7088,19550529.6458,0,0,164038046.954,29819995.3931,28070159.9166,0,0,0,58179054.8161,0,0
2023,17397831.7568,24957363.363,0,0,165869220.539,34521969.6963,36962909.3913,0,0,0,66383253.8882,0,0
2024,20735073.2047,28583365.4052,0,0,163942898.982,36895261.8776,41708517.0189,0,0,0,70667980.6677,0,0
2025,23029954.499,31430647.8902,0,0,160327771.098,38227278.1,44948351.295,0,0,0,73170593.3917,0,0
2026,25968096.5795,33784135.2431,0,0,155646226.176,39561862.6838,46226163.4998,0,0,0,76126242.0245,0,0
2027,28436910.3119,36104239.3826,0,0,151197131.374,40356758.6278,48241441.8316,0,0,0,78388158.1667,0,0
2028,30400814.2028,38707697.0152,0,0,145445169.559,39748296.9928,49511552.0726,0,0,0,79353631.6515,0,0
2029,32008679.2829,40692186.5277,0,0,138937984.348,39247854.7391,49269365.9936,0,0,0,79846357.6146,0,0
2030,33540645.0629,42308053.9596,0,0,132624456.069,37955020.1011,48427961.619,0,0,22679.7098314,80091504.4133,0,22679.7098314
2031,34918404.6839,44094514.6473,0,0,126033292.103,36928004.4601,48274781.7622,0,0,23169.3309474,80366996.1859,0,23169.3309474
2032,35941505.4651,45470753.6678,0,0,119105678.106,35434755.3311,47041342.8313,0,0,47894.4150467,80167486.8689,0,47894.4150467
2033,36907335.2441,46711669.7149,0,0,112676473.139,33962193.8599,45089103.1438,0,0,49523.8522149,79705136.0629,0,49523.8522149
2034,37728742.973,47727905.4716,0,0,106168108.836,32338646.392,43532528.0069,0,0,50985.1723237,79103379.694,0,50985.1723237
2035,38417980.4824,48999618.0797,0,0,99988944.0164,30969527.2415,41865588.2779,0,0,52302.155426,78409173.3535,0,52302.155426
2036,38936263.2321,50306529.7318,0,0,93806691.1609,29293453.2761,40021277.8389,0,0,53494.7270723,77836882.5752,0,53494.7270723
2037,39410159.6814,51081353.6345,0,0,88057194.3698,27869179.5844,38138540.5369,0,0,68455.6789009,76977824.6455,0,68455.6789009
2038,39780753.092,51914024.4543,0,0,82677772.3283,26399608.2357,36372664.7767,0,0,69964.3864505,76164114.997,0,69964.3864505
2039,40101753.29,52597785.1699,0,0,77712553.8467,25077339.7599,34629408.2206,0,0,99917.843818,75204335.5442,0,99917.843818
2040,40316545.9768,53277822.8884,0,0,73156323.9112,23801519.3107,32939329.9972,0,0,102272.371219,74382189.5073,0,102272.371219
